feature_name,importance
total_read_time_skew,23184.605752706528
rounded_24h_inview_count_min,23023.885831832886
rounded_2m_inview_count_min/rounded_2m_inview_count,22806.38482785225
rounded_24h_inview_count_kurtosis,22780.878036499023
rounded_20m_inview_count_kurtosis,22525.75278878212
total_pageviews_kurtosis,22317.081341981888
rounded_24h_inview_count_median/rounded_24h_inview_count,22114.878860473633
rounded_1h_inview_count_mean/rounded_1h_inview_count,22113.707125902176
rounded_3h_inview_count_mean-rounded_3h_inview_count,22008.355267763138
total_read_time_kurtosis,21771.116689920425
rounded_24h_inview_count_median-rounded_24h_inview_count,21673.937185049057
rounded_15m_inview_count_kurtosis,21657.78510570526
rounded_24h_inview_count_mean/rounded_24h_inview_count,21626.512182950974
published_time_diff_norm,21581.666315078735
rounded_1h_inview_count,21570.91692328453
rounded_1m_inview_count_min/rounded_1m_inview_count,21290.603062152863
rounded_3h_inview_count_mean/rounded_3h_inview_count,21288.18805527687
image_individual_median_cossim_norm,21239.97198033333
rounded_10m_inview_count_norm,21190.831583976746
rounded_1m_inview_count_median-rounded_1m_inview_count,21172.74538421631
time_gap_to_next_inview_impression_time_max,21086.019906759262
published_time_diff_min/published_time_diff,21076.250427007675
rounded_2m_inview_count_norm,21066.795890808105
rounded_1h_inview_count_norm,21030.627268075943
rounded_5m_inview_count_norm,20930.78715634346
rounded_24h_inview_count_min-rounded_24h_inview_count,20907.880149126053
rounded_3h_inview_count,20907.61578464508
past_inview_count_mean-past_inview_count,20660.762026786804
inview_count_min/inview_count,20630.446524858475
rounded_24h_inview_count_min/rounded_24h_inview_count,20563.254669189453
rounded_10m_inview_count_min/rounded_10m_inview_count,20349.330579519272
next_impression_id_max_cossim,20172.950422525406
rounded_1h_inview_count_median-rounded_1h_inview_count,20139.842618227005
rounded_3h_inview_count_median-rounded_3h_inview_count,19994.967913150787
rounded_24h_inview_count_max,19895.327857494354
rounded_6h_inview_count_min-rounded_6h_inview_count,19812.50762605667
rounded_3m_inview_count_median-rounded_3m_inview_count,19784.004999876022
total_pageviews_max,19739.191100120544
rounded_12h_inview_count_std,19737.359257936478
rounded_3h_inview_count_skew,19720.56150841713
rounded_6h_inview_count_max,19697.315890312195
total_read_time_std,19691.689375162125
rounded_24h_inview_count_mean-rounded_24h_inview_count,19665.01593017578
rounded_3m_inview_count_min-rounded_3m_inview_count,19648.16037464142
rounded_12h_inview_count_skew,19530.05521583557
next_impression_id_min_cossim,19515.506165981293
rounded_6h_inview_count_rank,19418.720677137375
rounded_3m_inview_count_norm,19309.253541469574
total_read_time_median,19297.41575074196
rounded_12h_inview_count_median-rounded_12h_inview_count,19288.201141119003
rounded_3m_inview_count_min/rounded_3m_inview_count,19116.376517772675
rounded_12h_inview_count_mean-rounded_12h_inview_count,19100.92192864418
rounded_12h_inview_count_max,19087.641078472137
time_gap_from_prev_inview_impression_time_median,18982.42289853096
rounded_12h_inview_count_min-rounded_12h_inview_count,18975.99533724785
rounded_3h_inview_count_min/rounded_3h_inview_count,18582.006834983826
minute,18454.50757098198
rounded_6h_inview_count_skew,18339.939624786377
rounded_24h_inview_count_std,18258.976092338562
past_inview_count_skew,18211.57175707817
rounded_12h_inview_count_kurtosis,18204.642547130585
rounded_5m_inview_count_min-rounded_5m_inview_count,18181.09674859047
rounded_6h_inview_count_kurtosis,18138.98861694336
rounded_24h_inview_count_skew,18030.764334201813
total_read_time_mean,17984.514892101288
rounded_30m_inview_count_skew,17968.354719877243
rounded_6h_inview_count_median,17709.017330884933
image_individual_quantile_q10_cossim_norm,17663.14548921585
total_inviews_max,17619.20584511757
time_gap_to_next_inview_impression_time_median,17592.14577102661
rounded_6h_inview_count_mean/rounded_6h_inview_count,17559.771257162094
rounded_24h_inview_count_mean,17495.026037693024
inview_count_median-inview_count,17371.89719581604
