feature_name,importance
rounded_10m_inview_count_norm,23641.68958711624
rounded_3h_inview_count,23537.514942884445
rounded_1h_inview_count_mean/rounded_1h_inview_count,23463.03723216057
rounded_2m_inview_count_min-rounded_2m_inview_count,23456.435552835464
total_pageviews_median,22874.830589056015
total_pageviews_kurtosis,22682.262308597565
rounded_12h_inview_count_min,22365.56954884529
total_pageviews_skew,22290.52211546898
rounded_3h_inview_count_mean/rounded_3h_inview_count,22263.016207695007
total_read_time_skew,21804.292878627777
rounded_3h_inview_count_max-rounded_3h_inview_count,21726.554136753082
is_premium_subscriber,21580.257787704468
published_time_diff_norm,21575.496324300766
inview_count_kurtosis,21263.138620376587
rounded_12h_inview_count_mean/rounded_12h_inview_count,21191.88537478447
rounded_24h_inview_count_min/rounded_24h_inview_count,20886.817552804947
rounded_6h_inview_count_min-rounded_6h_inview_count,20853.12719988823
rounded_1m_inview_count_median-rounded_1m_inview_count,20657.995896339417
rounded_24h_inview_count_min,20598.279084205627
past_inview_count_mean/past_inview_count,20526.088788747787
rounded_3h_inview_count_mean-rounded_3h_inview_count,20523.744480133057
rounded_24h_inview_count_max,20522.09809446335
published_time_diff_min/published_time_diff,20408.157578468323
rounded_10m_inview_count_median-rounded_10m_inview_count,20380.973258018494
rounded_20m_inview_count_kurtosis,20366.30519938469
rounded_1h_inview_count_median-rounded_1h_inview_count,20326.826115131378
rounded_24h_inview_count_min-rounded_24h_inview_count,20230.96552157402
rounded_12h_inview_count_std,20192.670390367508
rounded_6h_inview_count_max-rounded_6h_inview_count,20107.020994901657
rounded_24h_inview_count_kurtosis,20071.152225017548
rounded_24h_inview_count_mean/rounded_24h_inview_count,20067.481357574463
total_read_time_kurtosis,19929.92913031578
rounded_3m_inview_count_min/rounded_3m_inview_count,19865.824013710022
rounded_24h_inview_count_skew,19825.461669683456
rounded_12h_inview_count_skew,19803.14231967926
time_gap_from_prev_inview_impression_time_median,19661.713787794113
rounded_1h_inview_count,19584.315583467484
contrastive_individual_quantile_q25_cossim_norm,19474.23605298996
